Evaluation/AverageDiscountedModReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/LossAfter,Evaluation/AverageReturn,Evaluation/MinModReturn,GaussianMLPPolicy/KLBefore,GaussianMLPPolicy/KL,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/LossBefore,Evaluation/TerminationRate,GaussianMLPValueFunction/LossAfter,Evaluation/MaxModReturn,Evaluation/StdModReturn,Evaluation/AverageDiscountedReturn,Evaluation/MinReturn,Evaluation/MaxReturn,Evaluation/Iteration,TotalEnvSteps,GaussianMLPValueFunction/dLoss,Evaluation/AverageModReturn,GaussianMLPValueFunction/LossBefore,Evaluation/StdReturn,Evaluation/NumEpisodes
1146.3418398163815,2.2736465325579047e-05,-0.00017099440447054803,1146.3418398163815,428.40872671967503,0.0,6.850484351161867e-05,1.4188385009765625,-0.000148257939144969,1.0,274490.8125,3672.4959450307474,730.3130470181458,1146.3418398163815,428.40872671967503,3672.4959450307474,0,10068,312608.5,1146.3418398163815,587099.3125,730.3130470181458,82
1168.9039685337718,1.3570883311331272e-05,0.00029905163682997227,1168.9039685337718,428.40872671967503,0.0,2.5515091692795977e-05,1.4188770055770874,0.00031262252014130354,1.0,214467.71875,4813.517398576908,809.2507021415712,1168.9039685337718,428.40872671967503,4813.517398576908,1,20083,152108.15625,1168.9039685337718,366575.875,809.2507021415712,80
1113.1294242831184,8.438830263912678e-06,0.00017902901163324714,1113.1294242831184,465.7099281263398,0.0,1.919170426845085e-05,1.4189338684082031,0.00018746784189715981,1.0,207249.640625,5618.014612398047,844.3824985039278,1113.1294242831184,465.7099281263398,5618.014612398047,2,30217,91020.515625,1113.1294242831184,298270.15625,844.3824985039278,85
1147.4318972067372,3.8274083635769784e-06,8.465850987704471e-05,1147.4318972067374,437.36850138610816,0.0,1.5831714335945435e-05,1.4189918041229248,8.848591824062169e-05,1.0,57004.29296875,3383.458036561591,643.1335773848982,1147.4318972067372,437.36850138610816,3383.458036561591,3,40294,5530.32421875,1147.4318972067374,62534.6171875,643.1335773848982,82
1267.7054132237945,1.990021701203659e-06,5.198577491682954e-05,1267.7054132237945,409.20142901114974,0.0,1.5104369595064782e-05,1.4190477132797241,5.39757966180332e-05,1.0,269657.09375,6076.422696264981,956.9792796085268,1267.7054132237945,409.20142901114974,6076.422696264981,4,50340,42478.875,1267.7054132237945,312135.96875,956.9792796085268,74
1193.4893761265193,7.839262252673507e-07,2.505658812879119e-05,1193.4893761265193,428.40872671967503,0.0,1.0456657037138939e-05,1.4190993309020996,2.584051435405854e-05,1.0,78511.0546875,4363.903233700255,735.22294929028,1193.4893761265193,428.40872671967503,4363.903233700255,5,60438,21033.703125,1193.4893761265193,99544.7578125,735.22294929028,79
1228.0633151306993,2.5139197532553226e-06,5.528749534278177e-05,1228.063315130699,437.36850138610816,0.0,1.0724835192377213e-05,1.4191505908966064,5.780141509603709e-05,1.0,139185.265625,4898.191783346358,874.2306434983085,1228.0633151306993,437.36850138610816,4898.191783346358,6,70565,21774.203125,1228.063315130699,160959.46875,874.2306434983085,77
1264.6332214632953,1.9621838873717934e-06,4.415393777890131e-05,1264.6332214632953,428.40872671967503,0.0,9.632117325963918e-06,1.4192010164260864,4.61161216662731e-05,1.0,112258.3046875,4813.517398576908,851.9949818054445,1264.6332214632953,428.40872671967503,4813.517398576908,7,80722,19628.7421875,1264.6332214632953,131887.046875,851.9949818054445,75
1091.2512436281404,2.267650415888056e-06,4.7797489969525486e-05,1091.2512436281404,474.55738237262545,0.0,1.014905319607351e-05,1.419251799583435,5.006514038541354e-05,1.0,131201.171875,5618.014612398047,815.6118239655012,1091.2512436281404,474.55738237262545,5618.014612398047,8,90891,18005.859375,1091.2512436281404,149207.03125,815.6118239655012,87
1161.9368225221422,2.10480357054621e-06,4.093804454896599e-05,1161.9368225221422,428.40872671967503,0.0,1.1166684089403134e-05,1.4193018674850464,4.30428481195122e-05,1.0,117219.1484375,4813.517398576908,856.7200268356696,1161.9368225221422,428.40872671967503,4813.517398576908,9,100971,8553.828125,1161.9368225221422,125772.9765625,856.7200268356696,81
